Total Nacional,Comunidades y Ciudades Autónomas,Periodo,Total
Total Nacional,09 Cataluña,2019T4,19992
Total Nacional,09 Cataluña,2019T3,23251
Total Nacional,09 Cataluña,2019T2,22827
Total Nacional,09 Cataluña,2019T1,22617
Total Nacional,09 Cataluña,2018T4,17936
Total Nacional,09 Cataluña,2018T3,19666
Total Nacional,09 Cataluña,2018T2,24022
Total Nacional,09 Cataluña,2018T1,25828
Total Nacional,09 Cataluña,2017T4,18892
Total Nacional,09 Cataluña,2017T3,17413
Total Nacional,09 Cataluña,2017T2,19590
Total Nacional,09 Cataluña,2017T1,17660
Total Nacional,09 Cataluña,2016T4,15598
Total Nacional,09 Cataluña,2016T3,14567
Total Nacional,09 Cataluña,2016T2,13121
Total Nacional,09 Cataluña,2016T1,13774
Total Nacional,09 Cataluña,2015T4,10797
Total Nacional,09 Cataluña,2015T3,14226
Total Nacional,09 Cataluña,2015T2,13444
Total Nacional,09 Cataluña,2015T1,13720
Total Nacional,09 Cataluña,2014T4,10568
Total Nacional,09 Cataluña,2014T3,11130
Total Nacional,09 Cataluña,2014T2,10836
Total Nacional,09 Cataluña,2014T1,10505
Total Nacional,09 Cataluña,2013T4,10915
Total Nacional,09 Cataluña,2013T3,15583
Total Nacional,10 Comunitat Valenciana,2023T4,17311
Total Nacional,10 Comunitat Valenciana,2023T3,17593
Total Nacional,10 Comunitat Valenciana,2023T2,18961
Total Nacional,10 Comunitat Valenciana,2023T1,17143
Total Nacional,10 Comunitat Valenciana,2022T4,14397
Total Nacional,10 Comunitat Valenciana,2022T3,19194
Total Nacional,10 Comunitat Valenciana,2022T2,18133
Total Nacional,10 Comunitat Valenciana,2022T1,15879
Total Nacional,10 Comunitat Valenciana,2021T4,10776
Total Nacional,10 Comunitat Valenciana,2021T3,18640
Total Nacional,10 Comunitat Valenciana,2021T2,12788
Total Nacional,10 Comunitat Valenciana,2021T1,9945
Total Nacional,10 Comunitat Valenciana,2020T4,5148
Total Nacional,10 Comunitat Valenciana,2020T3,8812
Total Nacional,10 Comunitat Valenciana,2020T2,8798
Total Nacional,10 Comunitat Valenciana,2020T1,8547
Total Nacional,10 Comunitat Valenciana,2019T4,7088
Total Nacional,10 Comunitat Valenciana,2019T3,8873
Total Nacional,10 Comunitat Valenciana,2019T2,10456
